year,charges_personnel_per_capita_mch1_chf,charges_personnel_per_capita_mch2_chf,charges_personnel_median_salary_ratio_mch1,charges_personnel_median_salary_ratio_mch2
1981,,,,
1982,,,,
1983,,,,
1984,,,,
1985,,,,
1986,,,,
1987,,,,
1988,,,,
1989,,,,
1990,,,,
1991,,,,
1992,,,,
1993,3408.52159100794,,0.05801541379030399,
1994,3420.659175324556,,0.05740131519876084,
1995,2649.1407575576413,,0.04387156792457673,
1996,2673.80571488968,,0.04374109597712472,
1997,2753.2132359539405,,0.04482892464429368,
1998,2760.179493764384,,0.04464576044520548,
1999,2806.8038455533124,,0.045259349934747686,
2000,2882.746813960888,,0.045888997356906845,
2001,2995.544630627356,,0.04654647011354584,
2002,3074.3439607410346,,0.04693081701076257,
2003,3193.857362396792,,0.048077091799084655,
2004,3203.461633775658,,0.04778148132235036,
2005,2889.755989219273,,0.042697340266242216,
2006,2882.24496716814,,0.04208639926359646,
2007,2916.6702414516717,,0.041906181630052754,
2008,2885.857340193482,,0.040636720460086206,
2009,3000.5951957718667,,0.041378388159466414,
2010,3078.049507820785,,0.04211198910716337,
2011,3112.8591659887384,,0.042179663495782366,
2012,3938.2352867305685,,0.05290766949769693,
2013,4154.16500182291,,0.05570975487907561,
2014,,3261.9279687013895,,0.04366002742131638
2015,,3017.7341104395196,,0.04008892755246718
2016,,3016.1918483239983,,0.03953898390650724
2017,,3013.695337192088,,0.039599696956692
2018,,3037.799432339951,,0.040036367656965985
2019,,3074.092935337085,,0.03996480675165217
2020,,3093.0495083036917,,0.03972170221790327
2021,,3170.452099197211,,0.04010996532560613
2022,,3213.3241425460797,,0.04005040560556984
2023,,3254.4116258006884,,0.04020174456221821
2024,,3380.284503668716,,0.04138853589564007
2025,,,,
