year,per_capita_chf,median_salary_ratio,fit_median_salary_ratio
1993,7809.587432357255,0.13292462269126593,
1994,8176.657207941369,0.137210652569831,
1995,7290.57424999834,0.12073685496155173,
1996,7399.160314412856,0.12104371669959521,
1997,7786.268011001918,0.12677914567868176,
1998,7959.464387929177,0.12874392449419605,
1999,8294.909601568574,0.1337543472905149,
2000,8729.691610447126,0.13896357227709527,
2001,9102.65625870077,0.14144223162876454,
2002,9242.194329124286,0.1410849717458064,
2003,9629.647156137453,0.14495494876170298,
2004,9689.145438466565,0.14451920288864872,
2005,9776.030110127522,0.1444448893340355,
2006,9991.250215817288,0.14589174428796928,
2007,10591.293450471969,0.1521737564722984,
2008,10777.366206984154,0.1517596908722563,
2009,11428.391354897234,0.15759820391220192,
2010,11456.774204866862,0.15674457129189054,
2011,11199.82929750915,0.15175920457329473,
2012,12042.089325781435,0.16177775976384323,
2013,12473.434416783148,0.1672759684688224,
2014,12600.47379092867,0.16865394837413897,0.1642138476112529
2015,12577.222060372875,0.16708143445949405,0.16570022578331622
2016,12385.842423254206,0.16236487891634163,0.1671866039553791
2017,12593.612890566777,0.16547898783988724,0.16867298212744242
2018,12834.667391028317,0.16915318929606618,0.17015936029950574
2019,13043.92420251883,0.1695777977446546,0.17164573847156905
2020,13575.634419023672,0.17434163480535872,0.17313211664363193
2021,14402.220748561767,0.18220511042662021,0.17461849481569525
2022,14017.475336275911,0.17471177754855807,0.17610487298775857
2023,14025.429978695574,0.17325612682448333,0.17759125115982188
2024,14805.35616831571,0.18127823695165673,0.1790776293318852
