year,taxes_canton_personnes_physiques_chf,taxes_canton_personnes_morales_chf,taxes_canton_personnes_physiques_per_capita_chf,taxes_canton_personnes_morales_per_capita_chf,taxes_canton_personnes_physiques_median_salary_ratio,taxes_canton_personnes_morales_median_salary_ratio
1990,1647951571.0,221154760.0,2867.693424471123,384.84386446966124,0.056176410916610305,0.007538862726642792
1991,1688435778.0,248365693.0,2891.637443205464,425.3543705033199,0.052960392732700805,0.00779037308614139
1992,1625728929.0,233114386.0,2757.075603274446,395.3389614640376,0.048187143513605396,0.006909587553552111
1993,1847552299.0,258020202.0,3114.604593806369,434.9705861528347,0.053012741588479864,0.007403502623788717
1994,1818982713.0,240172568.0,3038.7942153772133,401.2325159082974,0.05099332486537141,0.006732992950535263
1995,1876980617.0,241703186.0,3117.017425253914,401.38562736228187,0.051619922914247385,0.006647218259179284
1996,1909369799.0,241845564.0,3165.6317751958036,400.9668543461393,0.051786935204747475,0.006559463001343726
1997,1933677901.0,282471612.0,3199.1229915293493,467.3277943220171,0.05208940653134931,0.007609219003549842
1998,1996026758.0,296175558.0,3283.592224768416,487.2278167201038,0.053111934277439446,0.007880884716616587
1999,2107948590.0,327108119.0,3442.80780236364,534.2494544943784,0.055514831694460136,0.008614703536093563
2000,2069012854.0,362699280.0,3358.907061615837,588.8185617018789,0.0534687529706437,0.009373106681023225
2001,2325615408.0,396118458.0,3740.230382254931,637.0676279865677,0.058117819352584546,0.009899117844281305
2002,2374043760.0,314820450.0,3780.727816502716,501.35993808256615,0.057713986329955363,0.007653415431436865
2003,2308596820.0,309002910.0,3630.7255170244553,485.9682472281198,0.05465326223844616,0.007315273471039858
2004,2914684373.0,428512404.0,4525.22581691888,665.2917246936408,0.06749635786824891,0.009923210498980383
2005,3149604755.0,408694462.0,4839.656287502439,627.9964873515461,0.0715079238697169,0.009278907910040575
2006,3323534102.0,552816914.0,5045.910102192485,839.3067034687144,0.07368013115753293,0.012255515207474948
2007,3509549906.96,702808193.38,5249.251634371901,1051.1937871103128,0.07542028210304455,0.015103359010205644
2008,3707055404.58,677716231.22,5412.376014465881,989.47943155571,0.07621347322386336,0.013933190148075222
2009,4022193914.91,710798989.0799999,5764.09055134551,1018.6256116778111,0.07948715526705155,0.014046908429557768
2010,4037730690.99,667165505.13,5701.584054537213,942.0886376287284,0.07800558275238348,0.012889080031039354
2011,4064608625.8500004,736303370.95,5633.0769343825405,1020.4312191900616,0.07632895575044092,0.013826981289838234
2012,4309941080.049999,717900683.05,5904.26342971159,983.4646623632993,0.07931999878703302,0.013212218044538924
2013,4663528874.04,755299931.8,6273.9435180952405,1016.1208902796518,0.08413721057417714,0.013626768724917549
2014,4716386234.160001,736189912.6,6243.817570167694,974.6096445578254,0.08357181671174234,0.013044887629267391
2015,4782957295.13,738547918.5500001,6231.890541761076,962.281179665849,0.0827872169318385,0.0127833729165451
2016,4833249620.64,802219064.6999999,6210.399499184711,1030.7973452009699,0.0814115607359959,0.013512628404396333
2017,5019921938.25,734339501.15,6319.263653661202,924.4137610400007,0.08303457970226534,0.012146717137601187
2018,5124490051.309999,720298816.0999999,6404.315690210232,900.1912314006413,0.08440502517542084,0.011863978483323333
2019,5268258372.309999,590200046.65,6535.587147197328,732.1781823448556,0.08496603155482746,0.009518697118367857
2020,5299919587.110001,817564254.9000001,6500.575968490127,1002.7772045872686,0.08348199476665802,0.01287791139604547
2021,5494394969.43,735239871.1000001,6669.954427395105,892.5489450114296,0.08438280486052205,0.01129179880840329
2022,5468179656.950001,783568274.21,6581.895635544922,943.1593195039427,0.08203579164853078,0.011755400831388258
2023,5600371399.48,895083401.97,6617.454268128554,1057.6394057093028,0.08174540799644918,0.013065018847085962
2024,5728913499.53,927130923.17,6694.6189823534705,1083.4145563360285,0.08196957319954783,0.013265434375747238
