year,taxes_canton_per_capita_chf,taxes_communes_per_capita_chf,taxes_total_per_capita_chf,taxes_canton_per_capita_pct_median_salary,taxes_communes_per_capita_pct_median_salary,taxes_total_per_capita_pct_median_salary,taxes_canton_pct_pib_reel,taxes_communes_pct_pib_reel,taxes_total_pct_pib_reel
1990,3603.885076592983,2483.3930926233033,6087.278169216286,7.059796812006313,4.864819567119776,11.924616379126089,,,
1991,3648.8754741797866,2570.4541319362975,6219.3296061160845,6.682922113882393,4.707791450432779,11.390713564315174,,,
1992,3476.9061646346945,2497.056989063133,5973.963153697827,6.076807474543299,4.364263473614257,10.441070948157554,,,
1993,3897.529285473456,2699.3817899829733,6596.91107545643,6.633866567050409,4.5945359987455285,11.228402565795939,,,
1994,3800.481777920336,2640.7361954068497,6441.217973327186,6.377503319103798,4.4313602419902836,10.808863561094082,,,
1995,3879.1461343270694,2720.980105351959,6600.126239679029,6.424129130774824,4.506127625450382,10.930256756225207,,,
1996,3938.549502947827,2748.89618108748,6687.445684035307,6.443118542971842,4.496950957151355,10.940069500123196,,,
1997,4043.8214876579973,2822.9640162795313,6866.785503937529,6.5843126997166825,4.596463488796944,11.180776188513626,6.585778540289759,4.597486782036775,11.183265322326534
1998,4189.995372434318,2846.8826279572086,7036.878000391526,6.77729582756586,4.604817915303456,11.382113742869317,6.720871169972755,4.566480312702018,11.287351482674772
1999,4431.545339030112,3032.0583691015163,7463.603708131628,7.145809692708513,4.889155006936139,12.034964699644652,7.039364700113744,4.816325461945733,11.855690162059478
2000,4412.261918445139,3055.35466201715,7467.61658046229,7.023657940855044,4.863665491908867,11.887323432763912,6.6395294132772396,4.597668389007456,11.237197802284697
2001,4847.407532197676,3328.5101819924603,8175.917714190136,7.532176537071409,5.172027754976164,12.704204292047574,7.378003436121198,5.066163592969247,12.444167029090444
2002,4777.673506568377,3278.3263230312787,8055.999829599655,7.293267244563071,5.004467123147217,12.297734367710285,7.253586519828099,4.977239150319694,12.230825670147794
2003,4601.619399229378,3176.3382197059054,7777.957618935284,6.926811475236902,4.781337638044776,11.708149113281676,7.081404637929328,4.88804793469543,11.969452572624759
2004,5723.73890578593,2930.6464088483567,8654.385314634286,8.5372873124902,4.371228460187872,12.908515772678072,8.409503751255928,4.30580122092954,12.715304972185468
2005,5999.52678970668,3003.197424365119,9002.724214071799,8.864549039164714,4.43734844025579,13.301897479420507,8.909421298364865,4.4598102539919235,13.369231552356789
2006,6444.0025870746485,3194.356682289318,9638.359269363968,9.409500886447416,4.664383917833827,14.073884804281246,9.263498298443201,4.592008971312503,13.855507269755703
2007,6866.918742829964,3385.315931801831,10252.234674631794,9.866262561537305,4.863959672129067,14.730222233666371,9.631129909021727,4.748041842829144,14.379171751850869
2008,6926.249281451029,3423.441403546681,10349.69068499771,9.753082800285892,4.820662109308721,14.573744909594613,9.271433385175044,4.5825969628375445,13.854030348012586
2009,7338.548095032689,3616.1642213693854,10954.712316402074,10.119901945822562,4.986712203333589,15.106614149156151,10.185238366168095,5.018907567123028,15.204145933291125
2010,7230.626340646477,3568.6542516913146,10799.280592337791,9.892500329237778,4.8824142884191355,14.774914617656911,9.621942695205282,4.748881368097979,14.370824063303262
2011,7231.605677967629,3276.048390919132,10507.65406888676,9.798923682882966,4.43908996059503,14.238013643477995,9.718582428298433,4.402693916683513,14.121276344981945
2012,7455.322386450969,3467.916380239763,10923.238766690733,10.01574827563406,4.658923612552747,14.674671888186808,9.527385116915058,4.431756696108577,13.959141813023635
2013,7837.6738449275335,3610.2228517980893,11447.896696725624,10.51077385061626,4.841517610500603,15.352291461116865,10.471356851709348,4.823361183859408,15.294718035568758
2014,7735.876539042508,3575.9613873616736,11311.837926404181,10.354262419748512,4.786328016063917,15.14059043581243,10.147156834265807,4.690592054785928,14.837748889051735
2015,7720.276151437725,3565.337765567813,11285.613917005538,10.255959603907918,4.736353905053155,14.992313508961072,10.241712964622442,4.72977459622008,14.971487560842522
2016,7766.375399890267,3591.8547591072806,11358.230158997549,10.180870693579607,4.708529651181481,14.88940034476109,9.771358100800558,4.519135026333888,14.290493127134448
2017,7783.715793054745,3596.666873892223,11380.382666946967,10.22773545812933,4.725989269804772,14.9537247279341,10.334783860029539,4.775453748114878,15.110237608144416
2018,7869.993191578705,3669.0187374556654,11539.01192903437,10.372177225445075,4.835545808234047,15.207723033679121,9.976107805882222,4.6508968401429085,14.62700464602513
2019,7819.711127333492,3634.8269836419845,11454.538110975476,10.16603110677781,4.725464097298472,14.891495204076282,9.963231530420433,4.631197012439248,14.594428542859678
2020,8073.4142574021835,3722.6074792591685,11796.021736661354,10.368077075823424,4.780664045897119,15.148741121720546,10.802494781715758,4.980971691400964,15.783466473116722
2021,8192.289501464638,3815.929498223375,12008.218999688013,10.3642142369625,4.827601713252587,15.191815950215087,9.992295304211545,4.654363642725612,14.646658946937158
2022,8125.269840862503,3792.381209221092,11917.651050083594,10.127218367811475,4.726768881769234,14.853987249580708,9.962680895422269,4.649972808442108,14.612653703864375
2023,8258.51874892326,3864.5955162040073,12123.114265127266,10.201747639247035,4.773934573826474,14.975682213073508,10.192422056851212,4.7695706430770795,14.961992699928292
2024,8312.525098013553,3917.5794808875035,12230.104578901057,10.177937479201628,4.796722843676539,14.974660322878167,9.824849149669848,4.630317139223977,14.455166288893825
