year,taxes_vevey_per_capita_chf,taxes_vevey_per_capita_pct_median_salary
1990,2773.6999806937383,5.433513518049167
1991,3040.3717021692396,5.568446340969303
1992,2943.4961941318065,5.144533337059225
1993,3165.193305656461,5.387379673298715
1994,3257.8850090697074,5.466983838551664
1995,3182.8344713164443,5.2709897842415945
1996,2935.500159266102,4.802218556579803
1997,2999.851908591855,4.884479465598305
1998,3267.26196619791,5.284779319031299
1999,3854.0755776429587,6.214647151772057
2000,3984.6482490272374,6.342961236910598
2001,3885.9081136421805,6.038144250174312
2002,4203.649987283825,6.417002484099385
2003,3930.729793024875,5.916922255878003
2004,3428.3790801641253,5.11362549991666
2005,3567.206132981277,5.270694640929782
2006,3914.3820927214815,5.715761481107239
2007,3647.574668303232,5.240768201585103
2008,3724.639115184431,5.244788660561607
2009,3537.880173323704,4.878758030398401
2010,3693.4417712500685,5.053140933686407
2011,3359.077706382052,4.551595808105762
2012,3717.0207593847476,4.993579396239384
2013,3733.9902914418703,5.007496904090052
2014,3825.789829864724,5.120716658454765
2015,3782.2734205520997,5.02454091682887
2016,3684.9003725985845,4.830502297465503
2017,4062.879460836233,5.3385885903976575
2018,4064.717485294857,5.35705293544053
2019,3897.974844632768,5.067570000822632
2020,3654.4501058120695,4.693134671254006
2021,4054.6256668190827,5.129580571351504
2022,3975.280902827034,4.954732404560567
2023,4405.566035552907,5.442195418955563
2024,4359.938271273954,5.338351296985447
