year,charges_totales_chf,charges_personnel_mch1_chf,charges_biens_services_mch1_chf,charges_interets_mch1_chf,charges_amortissements_mch1_chf,charges_parts_contributions_mch1_chf,charges_remboursements_collectivites_mch1_chf,charges_aides_subventions_privees_mch1_chf,charges_subventions_redistribuees_mch1_chf,charges_attributions_fonds_mch1_chf,charges_imputations_internes_mch1_chf,charges_personnel_mch2_chf,charges_biens_services_mch2_chf,charges_amortissements_mch2_chf,charges_financieres_mch2_chf,charges_attributions_fonds_mch2_chf,charges_transfert_mch2_chf,charges_subventions_redistribuer_mch2_chf,charges_extraordinaires_mch2_chf,charges_imputations_internes_mch2_chf
1993,4632569169.0,2021900922.57,492046648.55,174950269.48,176393900.44,42638376.0,229838354.23,1207708904.62,107423307.8,8195430.35,171473054.96,,,,,,,,,
1994,4894440708.13,2047562113.78,502743235.49,217929883.26,203846334.17,63631435.47,246852293.32,1254414947.25,139211404.85,9474633.45,208774427.09,,,,,,,,,
1995,4390179677.27,1595238388.26,358280176.1,243779706.24,213817761.76,42659722.35,250380419.06,1441429619.49,167546499.0,16577666.54,60469718.47,,,,,,,,,
1996,4462847938.6,1612721959.77,334827117.09,254058255.36,210600170.25,53472811.05,256822739.36,1485803356.1,189336142.0,6489753.9,58715633.72,,,,,,,,,
1997,4706331836.57,1664152208.34,334708427.47,265047913.65,231425938.1,45420827.9,290814515.48,1590338299.57,211979197.4,10235297.4,62209211.26,,,,,,,,,
1998,4838391252.67,1677855150.49,338771268.62,267312389.2,254779710.33,41686861.05,309930299.48,1668546336.88,206274290.4,17129950.07,56104996.15,,,,,,,,,
1999,5078774071.21,1718538631.34,373638498.82,272579365.93,267337919.02,44072790.25,335195482.64,1696169948.48,229887626.1,17870652.5,123483156.13,,,,,,,,,
2000,5377297978.82,1775708616.97,373009731.61,327209956.7,290362378.2,46832471.6,397820251.84,1810764076.4,267203801.15,24699828.43,63686865.92,,,,,,,,,
2001,5659886019.16,1862581722.61,394711906.01,311071051.26,269421808.86,43577926.6,422205476.15,2009070110.23,264139436.64,14870054.7,68236526.1,,,,,,,,,
2002,5803478811.67,1930482026.3,399693424.19,274426684.68,261189897.6,58936029.5,429085341.96,2091876878.98,270426539.71,21041467.35,66320521.4,,,,,,,,,
2003,6123011144.23,2030814203.88,417135554.36,278413566.21,274229361.53,82516091.6,486341485.41,2165023489.47,301541855.94,20587699.5,66407836.33,,,,,,,,,
2004,6240749509.48,2063340027.93,423239190.16,292698827.94,297571829.32,60331814.6,466025551.47,2290712459.84,267376388.67,15378962.0,64074457.55,,,,,,,,,
2005,6362152411.4,1880627189.98,384954339.47,260292614.36,430043102.9,74334531.62,441660989.58,2485071191.35,358363547.83,13930067.66,32874836.65,,,,,,,,,
