year,salaire_median_vaud_approx_chf,salaire_median_vaud_approx_method
1981,2997,extrapolated_ch_index_backward
1982,3208,extrapolated_ch_index_backward
1983,3328,extrapolated_ch_index_backward
1984,3422,extrapolated_ch_index_backward
1985,3528,extrapolated_ch_index_backward
1986,3654,extrapolated_ch_index_backward
1987,3742,extrapolated_ch_index_backward
1988,3872,extrapolated_ch_index_backward
1989,4019,extrapolated_ch_index_backward
1990,4254,extrapolated_ch_index_backward
1991,4550,extrapolated_ch_index_backward
1992,4768,extrapolated_ch_index_backward
1993,4896,extrapolated_ch_index_backward
1994,4966,extrapolated_ch_index_backward
1995,5032,extrapolated_ch_index_backward
1996,5094,extrapolated_ch_index_backward
1997,5118,extrapolated_ch_index_backward
1998,5152,extrapolated_ch_index_backward
1999,5168,extrapolated_ch_index_backward
2000,5235,extrapolated_ch_index_backward
2001,5363,extrapolated_ch_index_backward
2002,5459,extrapolated_ch_index_backward
2003,5536,extrapolated_ch_index_backward
2004,5587,extrapolated_ch_index_backward
2005,5640,extrapolated_ch_index_backward
2006,5707,extrapolated_ch_index_backward
2007,5800,extrapolated_ch_index_backward
2008,5918,extrapolated_ch_index_backward
2009,6043,extrapolated_ch_index_backward
2010,6091,extrapolated_ch_index_backward
2011,6150,extrapolated_ch_index_backward
2012,6203,actual
2013,6214,interpolated_ch_index
2014,6226,actual
2015,6273,interpolated_ch_index
2016,6357,actual
2017,6342,interpolated_ch_index
2018,6323,actual
2019,6410,interpolated_ch_index
2020,6489,actual
2021,6587,interpolated_linear
2022,6686,actual
2023,6746,interpolated_linear
2024,6806,actual
2025,6867,extrapolated_recent_trend
