year,subsides_maladie_pc_avs_ai_chf,subsides_maladie_ri_cas_rigueur_chf,subsides_maladie_partiels_chf,subsides_maladie_collectif_agees_chf,subsides_maladie_total_chf
1986,54185628.0,,33517450.0,13855420.0,101558498.0
1987,57816159.0,,35549891.0,11675800.0,105041850.0
1988,62833388.0,,37113815.0,11431820.0,111379023.0
1989,65447964.0,,40431110.0,9732260.0,115611334.0
1990,68795505.0,,44105498.0,8264050.0,121165053.0
1991,74465940.0,,49186618.0,6942530.0,130595088.0
1992,78601757.0,,57716356.0,5832640.0,142150753.0
1993,62374460.0,,71301954.0,5981780.0,139658194.0
1994,63080654.0,,84040087.0,5084380.0,152205121.0
1995,62612167.0,,68717370.0,4326980.0,135656517.0
1996,69884576.0,17104213.47,89381648.53,,176370438.0
1997,75200439.25,26304867.96,138456527.82882455,,239961835.03882456
1998,79656952.68,34702384.18,181252874.18,,295612211.04
1999,84531258.2,42187932.72,163230109.84999996,,289949300.77
2000,87470297.86,41902531.85,136961504.75,,266334334.46
2001,90232962.5,42170012.45,151513408.35000002,,283916383.3
2002,92732125.28480041,41403460.40243386,168100797.61276576,,302236383.3
2003,106258357.2,40478979.5,167313477.90000004,,314050814.6
2004,110921357.65,44100609.65,146829272.09999996,,301851239.4
2005,116427734.1,51549288.55,96287631.04999998,,264264653.7
2006,122961955.0,58564432.0,117870980.0,,299397367.0
2007,125091195.25,63627216.95,119340954.90000004,,308059367.1
2008,124994594.0,62585758.0,124811284.0,,312391636.0
2009,129097286.0,66428997.0,149199716.0,,344725999.0
2010,137651931.0,73707136.0,150527690.0,,361886757.0
2011,148791248.0,81614759.0,165753121.0,,396159127.0
2012,155258365.0,87476461.0,175004041.0,,417738868.0
2013,162714445.0,90554165.0,189366935.0,,442635545.0
2014,164079707.0,95522423.0,204685359.0,,464287489.0
2015,176436874.0,97567097.0,219467504.0,,493471475.0
2016,188653817.0,106161947.0,231011997.0,,525827761.0
2017,205613053.0,115710338.0,256517057.6,,577840448.6
2018,229719876.0,120138972.0,315112608.0,,664971456.0
2019,236844039.0,121819681.0,398029156.0,,756692876.0
2020,238730340.1,117348610.72000006,391202043.88,,747280994.7
2021,244053918.05,113809510.79999995,399093928.2,,756957357.05
2022,244976988.1,116300924.04999998,398851037.12,,760128949.27
2023,258605338.8,121311893.55000001,435697636.74,,815614869.09
2024,285576369.8,138550234.89999998,502782321.95,,926908926.65
