year,taxes_canton_impot_revenu_pp_chf,taxes_canton_impot_fortune_pp_chf,taxes_canton_impot_source_pp_chf,taxes_canton_impot_special_etrangers_pp_chf,taxes_canton_autres_impots_directs_pp_chf,taxes_canton_impot_benefice_pm_chf,taxes_canton_impot_capital_pm_chf,taxes_canton_impot_complementaire_immeubles_pm_chf,taxes_canton_autres_impots_directs_pm_chf,taxes_canton_impot_gains_immobiliers_chf,taxes_canton_impot_gains_capital_chf,taxes_canton_droits_mutation_chf,taxes_canton_droits_timbre_chf,taxes_canton_droits_mutation_timbre_chf,taxes_canton_impot_successions_donations_chf,taxes_canton_impot_chiens_chf,taxes_canton_impot_tombolas_loteries_chf,taxes_canton_impot_appareils_automatiques_chf,taxes_canton_taxes_vehicules_bateaux_cycles_chf,taxes_canton_taxes_routieres_chf,taxes_canton_impot_bateaux_chf,taxes_canton_impot_recupere_apres_defalcation_chf,taxes_canton_chf,taxes_canton_groupe_revenu_personnes_physiques_chf,taxes_canton_groupe_fortune_personnes_physiques_chf,taxes_canton_groupe_autres_personnes_physiques_chf,taxes_canton_groupe_personnes_morales_chf,taxes_canton_groupe_mobilite_chf,taxes_canton_groupe_transactions_chf
1990,1146918399.0,123201644.0,73835987.0,22206108.0,,150575098.0,59601233.0,10565903.0,,212421518.0,,82282594.0,8671703.0,,63871023.0,1350418.0,4146474.0000000005,412526.0,110951574.0,,,,2071012202.0,1242960494.0,187072667.0,217918410.0,221154760.0,110951574.0,90954297.0
1991,1275828564.0,130849378.0,82387828.0,22082075.0,,180775133.0,55936490.0,11129745.0,,116195162.0,,52019727.0,6412311.0,,54991577.0,1328159.0,4773035.0,524325.0,135355827.0,,,,2130589336.0,1380298467.0,185840955.0,122296356.0,248365693.0,135355827.0,58432038.0
1992,1284333383.0,133588616.0,56921921.0,27472119.0,,166214925.0,54218372.0,11763200.0,,68332479.0,,47833372.0,4556274.0,,52610511.0,1969983.0,499917.0,917889.0,137769760.0,,,1179337.32,2050182058.3200002,1368727423.0,186199127.0,70802379.0,233114386.0,137769760.0,53568983.32000017
1993,1482996297.0,165490230.0,48931310.0,24226016.0,,176164405.0,63429470.0,16938206.0,,63272583.0,,52568200.0,3892621.0,,54644266.0,1989753.0,6001844.0,1488121.0,148918381.0,,,1023693.8499999999,2311975396.8499994,1556153623.0,220134496.0,71264180.0,258020202.0,148918381.0,57484514.84999943
1994,1439130287.0,170989332.0,39700721.0,25204645.0,,153318290.0,65037057.00000001,18250301.0,,68205849.0,,58967758.0,4356060.0,,66204441.0,1966860.0,7580578.0,3566920.0,151741482.0,,,698405.0,2274918986.0,1504035653.0,237193773.0,77753287.0,240172568.0,151741482.0,64022223.0
1995,1474536244.0,185142115.0,41392076.0,28060584.0,,156210053.0,64737843.0,16445371.999999998,,66305297.99999999,,56913878.0,3882128.0,,70989971.0,2016231.0,8538098.0,4309918.0,155615906.0,,,817471.0,2335913186.0,1543988904.0,256132086.0,76859627.0,241703186.0,155615906.0,61613477.0
1996,1466354119.0,198433504.0,31701653.0,27880318.0,,140350150.0,75024471.0,21636110.0,,74159741.0,,52148656.0,4069109.0,,99022058.0,2097700.0,9720706.0,4834833.0,166539301.0,,,1587335.0,2375559763.9999995,1525936090.0,297455562.0,85978147.0,241845564.0,166539301.0,57805099.99999952
1997,1505138345.0,213475475.0,26323808.0,30665792.0,,162760725.0,86184988.0,28695567.0,,57305307.0,,54972992.0,3763809.0,,88692706.0,2077680.0,9998788.0,4830332.0,168437386.0,,,923760.0,2444247460.0,1562127945.0,302168181.0,69381775.0,282471612.0,168437386.0,59660561.0
1998,1480966161.0,219564254.0,27165634.0,28636359.0,,187128953.0,82105782.0,21435037.0,,63949654.0,,78961660.0,4137340.0,,161825706.0,2093565.0,11825425.0,5505786.0,170135783.0,,,1573098.0,2547010197.0000005,1536768154.0,381389960.0,77868644.0,296175558.0,170135783.0,84672098.00000048
1999,1572759684.0,265737334.99999997,38683868.0,34344402.0,,213831135.0,87470625.0,20248344.0,,68518841.0,,97003332.0,3835840.0,,112097928.0,2109375.0,13697157.0,5558015.0,176248533.0,,,1184440.0,2713328854.000001,1645787954.0,377835263.0,84325373.0,327108119.0,176248533.0,102023612.00000095
