year,taxes_vevey_chf
1990,43100524.0
1991,46672746.0
1992,45244480.0
1993,48794620.0
1994,50288713.0
1995,49878199.0
1996,46078546.0
1997,46995680.0
1998,50649095.0
1999,59715047.0
2000,61443276.0
2001,60728972.0
2002,66115007.0
2003,62101600.0
2004,55982002.0
2005,59443923.0
2006,66364434.0
2007,62406355.0
2008,65836721.0
2009,63685381.0
2010,67394232.0
2011,61686103.0
2012,69114284.0
2013,70594820.45
2014,73531680.53
2015,73576564.85
2016,72887329.37
2017,80554711.07
2018,80851295.5
2019,77273453.32
2020,72182698.49
2021,79807197.0
2022,78464094.46
2023,88723694.39
2024,87817876.66
